SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ
1772611995.615599, 0.200814, -0.105046, -9.812785, 0.001380, 0.007636, 0.000678
1772611995.624780, 0.194080, -0.101305, -9.802759, -0.001769, 0.006652, 0.002477
1772611995.635485, 0.191686, -0.115670, -9.812636, -0.000374, 0.006232, 0.002590
1772611995.645279, 0.183456, -0.112976, -9.816825, -0.003605, 0.005969, 0.003209
1772611995.655396, 0.204405, -0.105943, -9.764901, -0.005308, 0.006241, 0.002492
1772611995.665406, 0.186748, -0.099808, -9.821314, 0.002204, 0.005195, 0.003687
1772611995.675410, 0.194978, -0.091877, -9.825504, -0.004742, 0.004762, 0.004502
1772611995.684553, 0.191985, -0.115071, -9.799318, 0.001425, 0.008114, 0.000111
1772611995.694414, 0.175375, -0.106093, -9.911247, 0.001425, 0.008114, 0.000111
1772611995.705433, 0.202160, -0.108188, -9.759065, -0.004477, 0.006589, 0.003504
1772611995.715459, 0.180463, -0.106093, -9.829993, -0.001163, 0.005979, 0.001949
1772611995.725398, 0.183007, -0.100706, -9.808296, -0.000064, 0.006041, 0.000370
1772611995.735402, 0.189142, -0.098162, -9.824008, -0.002740, 0.004922, 0.002472
1772611995.745227, 0.188843, -0.100407, -9.805004, -0.002940, 0.004928, 0.002717
1772611995.755161, 0.186299, -0.102801, -9.817873, -0.002940, 0.004928, 0.002717
1772611995.765085, 0.178967, -0.108936, -9.806650, -0.001194, 0.007395, 0.000631
1772611995.775400, 0.182857, -0.109086, -9.780463, 0.000752, 0.008945, 0.003228
1772611995.784464, 0.187795, -0.095918, -9.838972, 0.000752, 0.008945, 0.003228
1772611995.795240, 0.190489, -0.107589, -9.778668, 0.000194, 0.005429, 0.003019
1772611995.805426, 0.180164, -0.116268, -9.828796, -0.004668, 0.005320, 0.002312
1772611995.815414, 0.174777, -0.096965, -9.824906, -0.004668, 0.005320, 0.002312
1772611995.824665, 0.158466, -0.093374, -9.794529, -0.005436, 0.005836, 0.002330
1772611995.834800, 0.168492, -0.098162, -9.828198, 0.001453, 0.007236, 0.002024
1772611995.845235, 0.177321, -0.094122, -9.817424, 0.001740, 0.006318, -0.001392
1772611995.855399, 0.188244, -0.095319, -9.821015, -0.000676, 0.006889, 0.003678
1772611995.865426, 0.189740, -0.109086, -9.815778, -0.001337, 0.006168, 0.002638
1772611995.875413, 0.188244, -0.100706, -9.812187, -0.003321, 0.003714, 0.003045
1772611995.884556, 0.192584, -0.099359, -9.801562, -0.002929, 0.005511, 0.001603
1772611995.894449, 0.176872, -0.101155, -9.805752, -0.003333, 0.006767, 0.003089
1772611995.905413, 0.179116, -0.097414, -9.819968, 0.000017, 0.008971, 0.002654
1772611995.915449, 0.196325, -0.103998, -9.790639, -0.001436, 0.005682, 0.003465
1772611995.925580, 0.180463, -0.103699, -9.816376, -0.000211, 0.004062, 0.003630
1772611995.935557, 0.176722, -0.098611, -9.814581, -0.002451, 0.006155, 0.004615
1772611995.945247, 0.182708, -0.099060, -9.820417, -0.001447, 0.007715, 0.001771
1772611995.955569, 0.172831, -0.098462, -9.817424, -0.002823, 0.007018, 0.004543
1772611995.965445, 0.181211, -0.112527, -9.819519, -0.000449, 0.004329, 0.004320
1772611995.975603, 0.188094, -0.092027, -9.810241, -0.003254, 0.006310, 0.002965
1772611995.985551, 0.172831, -0.103998, -9.819070, -0.000424, 0.005880, 0.000937
1772611995.995312, 0.172831, -0.106392, -9.797971, -0.000048, 0.003529, 0.000550
1772611996.005492, 0.184653, -0.097264, -9.814431, -0.003253, 0.006059, 0.003454
1772611996.015457, 0.190339, -0.099509, -9.811438, 0.000716, 0.004990, 0.001505
1772611996.024770, 0.171485, -0.095469, -9.813833, -0.000785, 0.008939, 0.003087
1772611996.035484, 0.188992, -0.104896, -9.812636, -0.001003, 0.005941, 0.001616
