SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ
1772611996.045264, 0.193481, -0.104148, -9.821165, 0.001064, 0.007819, 0.004797
1772611996.055581, 0.182708, -0.096367, -9.798869, -0.003723, 0.004786, 0.002730
1772611996.065602, 0.174926, -0.112228, -9.834183, -0.002845, 0.005675, 0.004104
1772611996.074803, 0.184653, -0.105644, -9.807398, -0.000768, 0.005345, 0.004602
1772611996.085414, 0.184503, -0.098312, -9.811139, 0.001566, 0.006314, 0.002333
1772611996.095268, 0.195127, -0.108936, -9.803358, -0.001603, 0.001086, 0.002822
1772611996.105425, 0.176123, -0.106093, -9.800216, -0.002521, 0.001772, 0.001950
1772611996.115463, 0.186598, -0.098312, -9.841216, -0.002399, 0.007193, 0.002087
1772611996.125582, 0.182408, -0.105943, -9.799617, -0.000371, 0.010777, 0.001238
1772611996.135448, 0.175974, -0.098312, -9.818471, 0.000326, 0.008135, 0.001190
1772611996.145262, 0.189890, -0.105644, -9.804555, -0.001813, -0.004358, 0.002747
1772611996.155409, 0.155623, -0.112079, -9.816676, 0.001199, 0.010771, 0.002990
1772611996.165518, 0.197073, -0.096067, -9.803059, -0.001567, 0.005934, 0.004516
1772611996.175439, 0.209942, -0.099509, -9.794829, -0.004576, -0.012353, 0.002299
1772611996.184947, 0.181062, -0.092027, -9.839570, -0.000760, -0.005331, 0.001383
1772611996.195276, 0.169539, -0.097713, -9.810391, -0.003187, -0.009691, 0.003508
1772611996.205602, 0.197073, -0.095918, -9.819519, 0.001100, -0.012496, 0.005783
1772611996.215458, 0.172532, -0.084845, -9.839421, 0.003087, 0.004112, 0.002800
1772611996.224779, 0.159214, -0.106542, -9.807847, 0.002457, 0.009493, 0.004824
1772611996.235436, 0.165948, -0.122404, -9.786000, 0.000004, 0.013965, 0.001018
1772611996.245307, 0.171934, -0.105644, -9.818022, -0.002246, 0.009695, 0.003759
1772611996.255410, 0.173280, -0.093823, -9.806500, -0.001143, 0.005871, 0.002362
1772611996.265481, 0.189890, -0.097564, -9.809942, -0.002018, 0.016011, -0.001373
1772611996.275559, 0.166547, -0.105644, -9.815179, -0.004821, 0.003614, 0.003595
